Metrics,LoadPoint,Node, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Tx Utilization,0,all, ,92.34748306574244,90.81195568457846,91.93406007464897,92.34854947962953,91.7876552718368,93.39640973991351,92.70761498508995,94.49121195963426,91.28925489266742,92.93243083121038
Tx Utilization,1,all, ,122.90549400635899,121.13634299030353,120.74279676916089,116.72263364733298,121.7045638564686,118.38331654718881,119.21965163813022,119.51196753362166,116.26047159191896,118.83109188932994
Tx Utilization,2,all, ,149.80743329976104,145.4727570748662,146.6424847443569,150.42547939253905,154.13643185812745,145.58042538065052,149.8540494105101,142.14815253668266,152.11729565337598,155.24719078934376
Tx Utilization,3,all, ,193.53400675395463,164.2054821573158,179.39121590931532,180.31480932914667,174.13265991271206,184.37455812943105,176.12820664731322,183.9154669510437,174.51347828662836,174.40939431640896


Rx Utilization,0,all, ,92.34748306574244,90.81195568457846,91.93406007464897,92.34854947962953,91.7876552718368,93.39640973991351,92.70761498508995,94.49121195963426,91.28925489266742,92.93243083121038
Rx Utilization,1,all, ,122.90549400635899,121.13634299030353,120.74279676916089,116.72263364733298,121.7045638564686,118.38331654718881,119.21965163813022,119.51196753362166,116.26047159191896,118.83109188932994
Rx Utilization,2,all, ,149.80743329976104,145.4727570748662,146.6424847443569,150.42547939253905,154.13643185812745,145.58042538065052,149.8540494105101,142.14815253668266,152.11729565337598,155.24719078934376
Rx Utilization,3,all, ,193.53400675395463,164.2054821573158,179.39121590931532,180.31480932914667,174.13265991271206,184.37455812943105,176.12820664731322,183.9154669510437,174.51347828662836,174.40939431640896


Regenerators Utilization,0,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,1,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,2,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regenerators Utilization,3,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Tx Utilization Per Node,0,11, ,6.447765467938464,6.359756699646503,6.960305705314296,6.083348144637321,6.695074747714122,6.003890435847305,6.903845014515078,8.305784307917136,5.9866402038035424,7.003989177873887
Tx Utilization Per Node,0,12, ,6.649999012579734,6.0938345478602605,7.253806505124711,7.125560361000849,7.149218950569741,6.820654857120288,6.093133479471533,7.18587199083674,7.090408199537888,5.948338171692636
Tx Utilization Per Node,0,13, ,6.50688231925272,6.486087248454687,6.185694255188894,6.68894286786342,6.509627347591682,6.380433280012639,6.671050812646879,6.0756067697533425,5.966822679068665,6.8808677449295965
Tx Utilization Per Node,0,14, ,6.774018997965914,7.123180678160239,6.44863439777238,5.769200387068744,6.509390366727887,6.7941228745778774,6.661561703892411,5.702845745206075,6.275983964294883,6.1766593597567
Tx Utilization Per Node,0,1, ,6.718674092067066,6.982058573770168,6.230839109741888,7.098939510634517,6.509044769634852,6.2492939945099435,6.304401919544997,5.784248671919743,6.256146691154689,6.783103264411399
Tx Utilization Per Node,0,2, ,6.901643067322314,6.453107411576515,6.100746489720955,7.092215178624326,6.071212749570472,6.387404467089283,6.543308252858582,7.512342753322669,7.223828425854612,6.950707980330589
Tx Utilization Per Node,0,3, ,6.355599660327429,6.423623042439323,6.886180065959674,6.618915022611924,6.37253391788613,7.22802496198432,6.350919288267472,7.088364239587653,6.422112289432628,6.359391354148152
Tx Utilization Per Node,0,4, ,6.764865612101823,6.565752315500523,6.834636728084207,7.083812232162253,6.352074569978474,6.293402057783834,6.776043209510832,7.131277524339909,6.048146612161068,6.539220332958114
Tx Utilization Per Node,0,5, ,6.353170606473527,5.888253648517882,6.658629065702945,5.9083377767245295,5.990668878488062,6.870657819381085,6.70006122005648,6.290805142484745,7.0697908643877,6.819539072219918
Tx Utilization Per Node,0,6, ,6.906234571558347,6.572269289254892,6.556914904121492,7.089420779272074,7.447874084167704,6.629401425834864,6.981762347690424,7.690562237099354,6.7311649584296065,6.850079981041531
Tx Utilization Per Node,0,7, ,6.439856231609298,6.677222189308213,5.638396824456425,6.37831032644114,6.554791950549993,6.9399944704465115,6.86427908446393,5.920236190927582,6.736546398878291,7.280753204178763
Tx Utilization Per Node,0,8, ,6.594713351896834,6.2921579082489085,7.659419001915595,6.292483756936627,6.431344668917985,7.0819163852518905,6.549015541994984,6.282649051089124,6.585490846614136,6.62661690068527
Tx Utilization Per Node,0,9, ,6.524488022592176,6.663862393111756,6.007198293737781,6.540849576396706,6.420670655844541,7.567105081264688,6.803927957817407,6.045480577443372,6.52070620297411,6.800156012401999
Tx Utilization Per Node,0,10, ,6.409572052056796,6.230789738728598,6.51265872780773,6.57821355925509,6.774127614195153,6.150107628808974,6.504305152358947,7.4751367577068155,6.3754665560755965,5.913008274581827
Tx Utilization Per Node,1,11, ,9.786095147816814,8.716136421983926,8.710824100953849,8.56582143491913,8.240397337914963,7.837115152951399,9.75090348954322,7.454795900231057,7.420868139897704,7.901228350810672
Tx Utilization Per Node,1,12, ,9.513014199103422,8.697770405039792,8.689199597132532,8.084463929537689,8.935590576060983,8.689406955388352,9.604755416000158,8.187126014574323,9.11024547267808,8.745373936054664
Tx Utilization Per Node,1,13, ,7.546240891048048,8.87317574105891,8.333718427237,7.757232853447084,8.69831348618599,8.244347018978218,7.242026581353556,8.754803799593184,8.086132669786915,7.963475324367558
