Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Rate of requests by circuit,0, ,1.400909113628553,1.3966079060636105,1.3930984244622886,1.4002947058186435,1.4000494321554664,1.4004456609028915,1.4050315259640804,1.4007742850608371,1.3887791075208618,1.3983342032167043
Rate of requests by circuit,1, ,1.941431584387539,2.028759989871985,1.9678829129723758,1.9813902058374702,1.9997715452884828,1.9508006691030617,1.9763413107609882,2.01633608167125,1.9836957847594536,2.018818799974279
Rate of requests by circuit,2, ,2.0916446650156657,2.419064047471282,2.334290927616102,2.204989277544943,2.384246250828896,2.221013382810454,2.3856052046213136,2.3688831988216292,2.357964078660825,2.3891708185672544
Rate of requests by circuit,3, ,2.344809966451407,2.7653032986150405,2.4936594206105296,2.510705115636338,2.4652065485171586,2.47684421236974,2.5298330560802142,2.533476380714122,2.4858328253916713,2.0620852311619657


Maximum requests by circuit,0, ,15,15,15,15,15,14,17,15,17,17
Maximum requests by circuit,1, ,19,20,22,21,19,19,22,21,24,20
Maximum requests by circuit,2, ,25,26,24,26,29,24,27,30,27,29
Maximum requests by circuit,3, ,29,32,33,32,34,32,30,31,29,24


Virtual hops,0, ,1.815959734353295,1.812799908599284,1.818548540548769,1.8139174129447928,1.816450397655923,1.8117424314501551,1.8155679957347957,1.8151785034635,1.8110141839248852,1.817386836170557
Virtual hops,1, ,1.857735137257155,1.8347958648944787,1.8553926721584069,1.8474280149698312,1.8416731038823564,1.8598151387415287,1.8449378279444513,1.8418705694031556,1.8497084450721968,1.8391380558625157
Virtual hops,2, ,1.9114891047254794,1.8546155612537794,1.8597211694380211,1.8873583038592296,1.8578348616813107,1.8917608418925091,1.8549145258149307,1.8580228524202616,1.8572044742214682,1.8568814897122494
Virtual hops,3, ,1.9028340489004454,1.8448905984709685,1.8756119531586575,1.8726767994959836,1.8886250037264118,1.8816277172042906,1.8694236151063353,1.870048971596474,1.8734942706447604,1.9560667139186676


Maximum virtual hops,0, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,1, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,2, ,3,3,3,3,3,3,3,3,3,3
Maximum virtual hops,3, ,3,3,3,3,3,3,3,3,3,3


