Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Percentage of cicuits per modulation,0,BPSK,all, ,0.04497303596853372,0.04576867119301649,0.047007818130801016,0.05032095809698481,0.04739706448243637,0.04812455379208084,0.04902881431325063,0.047927432655305115,0.053997244982520454,0.04707655578720384
Percentage of cicuits per modulation,0,QPSK,all, ,0.5306664321171575,0.5234492108279694,0.5304995130861535,0.5239716436678729,0.5265350997746138,0.5239991213136361,0.5258021823533611,0.5234139637163276,0.52523145988486,0.5235410283350478
Percentage of cicuits per modulation,0,8QAM,all, ,0.20125447339054142,0.20631447844105458,0.2013127417375947,0.20401293716469626,0.21076906162387993,0.2061617881267505,0.2028479326952119,0.20701484332050576,0.20441461366642336,0.2072842691251946
Percentage of cicuits per modulation,0,16QAM,all, ,0.2073069501783859,0.2080394145137113,0.20485043217042534,0.20584149227668838,0.19829586059040186,0.2068153111098907,0.20664810513078194,0.20469488730071467,0.20212059512768024,0.2078288565314733
Percentage of cicuits per modulation,0,32QAM,all, ,0.015799108345381483,0.016428225024248302,0.016329494875025444,0.015852968793757652,0.017002913528668024,0.014899225657641825,0.01567296550739441,0.016948873007146783,0.014236086338515913,0.014269290221080484
Percentage of cicuits per modulation,0,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,1,BPSK,all, ,0.04516865560967283,0.039743220619128355,0.04592018836866134,0.04289952647530374,0.04239619543195922,0.03796671309117881,0.04593018910232454,0.045621843704527945,0.04155521028548851,0.04272651082842669
Percentage of cicuits per modulation,1,QPSK,all, ,0.47802915930926687,0.4787207950776843,0.4679757294224817,0.4820524019793226,0.4858981467659039,0.4982150575503866,0.4871760648350827,0.47858533767011896,0.4844228027742628,0.489881546567306
Percentage of cicuits per modulation,1,8QAM,all, ,0.18589726491440522,0.192819134755857,0.19763793369806676,0.1847598553326125,0.17760337804695997,0.1738304491438146,0.18507148729885856,0.19089702987246426,0.19000710117302835,0.18627456213867433
Percentage of cicuits per modulation,1,16QAM,all, ,0.2681685542509322,0.26789084743593844,0.2628264888102836,0.26514187098183134,0.27305346441747885,0.26645535509415635,0.2605949622542791,0.2652625609860481,0.2603354102929634,0.25907084251939083
Percentage of cicuits per modulation,1,32QAM,all, ,0.022736365915722874,0.02082600211139192,0.025639659700506613,0.025146345230929845,0.021048815337698066,0.023532425120463604,0.021227296509455117,0.01963322776684071,0.023679475474256913,0.022046537946202177
Percentage of cicuits per modulation,1,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,2,BPSK,all, ,0.03774101871202394,0.04031719712304578,0.04052642910969965,0.03359188415775545,0.03801853854306203,0.03865510861297961,0.03579889302866496,0.038618662906168756,0.0414777317033766,0.03500900077917193
Percentage of cicuits per modulation,2,QPSK,all, ,0.4457200878922514,0.450116284077695,0.4345516201959307,0.453944962024227,0.45390379970196304,0.4371867970633769,0.44264854736932785,0.4531920276009064,0.438456567397275,0.44486955587200083
Percentage of cicuits per modulation,2,8QAM,all, ,0.17767021065129449,0.1807033033291701,0.17876520615782107,0.17848613292596338,0.17811203821758848,0.19560045958906697,0.19184631619753192,0.1750461540117659,0.1950832031881092,0.176603347752492
Percentage of cicuits per modulation,2,16QAM,all, ,0.3130758527321274,0.30527262155992935,0.3196253633329745,0.30764141403274736,0.305864441611121,0.29741130524373866,0.3019458143992419,0.30347541054195304,0.29963379826592706,0.3150326446169967
Percentage of cicuits per modulation,2,32QAM,all, ,0.025792830012302766,0.023590593910159784,0.02653138120357412,0.026335606859306755,0.024101181926265446,0.031146329490837888,0.027760429005233348,0.029667744939205883,0.025348699445312078,0.02848545097933851
Percentage of cicuits per modulation,2,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage of cicuits per modulation,3,BPSK,all, ,0.037916185274656025,0.04922813036020583,0.039160343787529125,0.032334571467877285,0.03703292000377944,0.03500971723133655,0.037037037037037035,0.039304827586206896,0.03959848769594729,0.03930986398698525
Percentage of cicuits per modulation,3,QPSK,all, ,0.42917871298348803,0.41372766004537154,0.42485873830198184,0.42153803824460034,0.4196286147809316,0.4191199676645977,0.41620093147039255,0.4189737931034483,0.4218255986203542,0.418663331820848
Percentage of cicuits per modulation,3,8QAM,all, ,0.16720932675139166,0.17359597189177225,0.16586143348109778,0.18357958453707526,0.18289693810061083,0.17800528218729064,0.17435684187181194,0.16883310344827587,0.1802272878020739,0.16788587744441616
Percentage of cicuits per modulation,3,16QAM,all, ,0.33449051680772146,0.3320312067725336,0.3393878014090197,0.33114871371577936,0.33037833271269057,0.33936669121351887,0.34032490574406743,0.3440662068965517,0.32918039311061487,0.34090129372835026
Percentage of cicuits per modulation,3,32QAM,all, ,0.031205258182742855,0.031417030930116746,0.030731683020371568,0.031399092034667765,0.03006319440198754,0.02849834170325624,0.03208028387669106,0.028822068965517242,0.02916823277100975,0.03323963301940039
Percentage of cicuits per modulation,3,64QAM,all, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0


Percentage of cicuits per modulation and bandwidth,0,BPSK,100.0, ,0.0010829590619485566,9.258442818093642E-4,8.747943683049346E-4,0.0011915809588657468,0.0010114891979550328,0.0011258169037289252,0.0010598746821748849,9.840571742715778E-4,0.001086640360457267,0.0010121624520735579
Percentage of cicuits per modulation and bandwidth,0,BPSK,200.0, ,0.0014402805798503647,0.001311612732563266,0.001535016533063376,0.0017406966081126346,0.0018250783354406025,0.0016695040913833818,0.001493709396640252,0.0014788345244639912,0.0017342341106287697,0.0014247286689513666
Percentage of cicuits per modulation and bandwidth,0,BPSK,400.0, ,0.0011929041443798822,0.0010856626399788378,0.0012929350726519474,0.0012959129322226554,0.0011654114672090595,0.001246636278763249,0.0013509283513731692,0.0012039582188015394,0.0013116517482287214,0.0012707039479836514
Percentage of cicuits per modulation and bandwidth,0,BPSK,10.0, ,0.003342330505912297,0.0034388501895776385,0.0033011108237922062,0.0034264816513005806,0.003083942608982464,0.0034104014498325,0.003316913513127619,0.0032600329851566797,0.0032105283377146525,0.0035920765282827895
