Metrics,LoadPoint, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total consumed energy (Joule),0, ,5.4616871686792926E11,5.584462852933525E11,5.910958174123472E11,5.652719408318652E11,5.577906007754578E11,5.894758921150492E11,5.596936735546742E11,5.630012632489415E11,5.870090537419978E11,5.687590442301622E11
Total consumed energy (Joule),1, ,4.9054097732955774E11,4.660717040098495E11,4.517543359463411E11,4.7150742034540063E11,4.6196639120076984E11,4.6944002690639056E11,4.749793204354648E11,4.643530123037052E11,4.832979256353747E11,4.605195211696783E11
Total consumed energy (Joule),2, ,4.115753926690304E11,4.366686966348184E11,4.0427748336963684E11,4.026764662982321E11,4.1181791889343896E11,4.0530852897181177E11,4.191261100452378E11,4.077483291813757E11,4.1277975375366644E11,4.1065758945971576E11
Total consumed energy (Joule),3, ,3.818001665965219E11,3.6857138545823236E11,3.647392261994561E11,3.736391412726895E11,3.745403913396057E11,3.7052059015368335E11,3.690440626599542E11,3.77132283075129E11,3.82563696433672E11,3.8156397988932886E11


Average power consumption (Watt),0, ,314377.38006479025,308159.9176160344,291492.7860325497,305003.3443964122,311778.61120767193,293484.5086667144,307147.70734647446,315679.7413164839,297174.48876559845,301381.38134965085
Average power consumption (Watt),1, ,348076.12516619626,370492.1416680887,380855.4087607898,368889.6188856174,372905.69218029943,364578.1392024117,361601.27958014345,377788.23013445875,356799.84693021077,377612.1167638318
Average power consumption (Watt),2, ,444530.69750701886,396374.4739711972,457758.4153721037,444552.1807660735,431782.9473246242,459622.8303737598,434199.1525670546,446347.03092681034,442639.4381929488,448114.67543743236
Average power consumption (Watt),3, ,476587.26503067487,510926.9915968785,513177.0759882441,493007.8275132368,489352.1454752144,507734.4051681565,502276.1470013123,491089.4670799924,478927.53107480996,474939.328861578


Energy efficiency (bits/Joule),0, ,5.675050867495646E7,5.566664998129074E7,5.223262278450444E7,5.438267832009561E7,5.607739445487668E7,5.264252232049298E7,5.5498830958875574E7,5.544975647388786E7,5.302099774817456E7,5.382534914719419E7
Energy efficiency (bits/Joule),1, ,6.109716907435733E7,6.50215697221712E7,6.685922345724434E7,6.389196460177295E7,6.586225025188618E7,6.429710204820046E7,6.362596084667914E7,6.534117917029353E7,6.307212609664746E7,6.587365468234844E7
Energy efficiency (bits/Joule),2, ,7.029239108678445E7,6.529967804493926E7,7.257714868321462E7,7.140480978609547E7,6.993793305190285E7,7.208696025974214E7,6.92089678456217E7,7.075813231944545E7,7.081665133200635E7,7.0001632924848E7
Energy efficiency (bits/Joule),3, ,7.084803129047115E7,7.424428003762068E7,7.484015217111628E7,7.32591099408564E7,7.206374328318398E7,7.33240112444522E7,7.36314996324328E7,7.235985235633086E7,7.190931390538213E7,7.121262838616845E7


Total data transmitted (bits),0, ,3.099535250460326E19,3.108683389677709E19,3.087448486039744E19,3.0741002121635447E19,3.127944354290799E19,3.103149780805899E19,3.1062344577362952E19,3.1218282941645038E19,3.1123805716612547E19,3.0613654136312947E19
Total data transmitted (bits),1, ,2.9970665029804474E19,3.0304713797807567E19,3.020394409481545E19,3.0125535410181616E19,3.0426146065225855E19,3.018363331551016E19,3.022101564500915E19,3.034137337520192E19,3.0482627707922498E19,3.0336103912011837E19
Total data transmitted (bits),2, ,2.893061846318836E19,2.8514325302556893E19,2.9341307019793957E19,2.875303648136235E19,2.880169404114329E19,2.921745982092554E19,2.9007285473381364E19,2.885151022924858E19,2.9231679898484834E19,2.8746701835161956E19
Total data transmitted (bits),3, ,2.704979014973748E19,2.736431715581484E19,2.7297139191542497E19,2.7372470928703136E19,2.699078261068061E19,2.716805591872974E19,2.717326776409793E19,2.728923632212231E19,2.7509892935652237E19,2.7172173905406226E19


